actual_id,date,department_id,category_id,region_id,account_type,actual_amount
1,2023-01-01,1,101,1,Revenue,15468.81
2,2023-01-26,1,101,1,Revenue,6982.02
3,2023-01-28,1,101,1,Revenue,8535.08
4,2023-01-21,1,101,1,Revenue,10906.41
5,2023-01-26,1,101,1,Revenue,26302.68
6,2023-01-09,1,101,1,Revenue,600.17
7,2023-01-28,1,101,1,Revenue,307.52
8,2023-01-27,1,101,1,Revenue,2017.96
9,2023-01-12,1,101,1,Revenue,44208.72
10,2023-01-22,1,101,1,Revenue,12904.66
11,2023-01-08,1,101,1,Revenue,9801.11
12,2023-01-26,1,101,1,Revenue,495.22
13,2023-01-17,1,101,1,Revenue,21716.62
14,2023-01-10,1,101,1,Revenue,17219.6
15,2023-01-27,1,101,1,Revenue,11234.39
16,2023-01-07,1,101,1,Revenue,4257.23
17,2023-01-19,1,101,1,Revenue,751.48
18,2023-01-25,1,101,1,Revenue,8917.31
19,2023-01-06,1,101,1,Revenue,13072.62
20,2023-01-21,1,101,1,Revenue,1017.35
21,2023-01-24,1,101,1,Revenue,10324.35
22,2023-01-24,1,101,1,Revenue,3467.72
23,2023-01-28,1,101,1,Revenue,14851.61
24,2023-01-28,1,101,1,Revenue,7972.76
25,2023-01-19,1,101,1,Revenue,1419.99
26,2023-01-18,1,101,1,Revenue,7684.46
27,2023-01-15,1,101,1,Revenue,5177.61
28,2023-01-02,1,101,1,Revenue,2044.19
29,2023-01-14,1,101,1,Revenue,18933.52
30,2023-01-21,1,101,1,Revenue,113.98
31,2023-01-10,1,101,1,Revenue,3845.63
32,2023-01-28,1,101,1,Revenue,130.28
33,2023-01-16,1,101,1,Revenue,1037.42
34,2023-01-07,1,101,1,Revenue,3623.44
35,2023-01-08,1,101,1,Revenue,573.52
36,2023-01-10,1,101,1,Revenue,9331.63
37,2023-01-15,1,101,1,Revenue,933.97
38,2023-01-08,1,101,1,Revenue,12433.58
39,2023-01-13,1,101,1,Revenue,555.83
40,2023-01-24,7,101,1,Revenue,21698.58
41,2023-01-07,7,101,1,Revenue,10941.64
42,2023-01-02,7,101,1,Revenue,2448.9
43,2023-01-31,7,101,1,Revenue,13549.31
44,2023-01-17,7,101,1,Revenue,4127.16
45,2023-01-13,7,101,1,Revenue,12856.29
46,2023-01-13,1,102,1,Revenue,16718.22
47,2023-01-22,1,102,1,Revenue,5969.7
48,2023-01-05,1,102,1,Revenue,1850.98
49,2023-01-20,1,102,1,Revenue,1819.59
50,2023-01-16,1,102,1,Revenue,2822.16
51,2023-01-28,1,102,1,Revenue,4666.47
52,2023-01-22,1,102,1,Revenue,750.41
53,2023-01-22,1,102,1,Revenue,992.9
54,2023-01-16,1,102,1,Revenue,9303.42
55,2023-01-16,1,102,1,Revenue,1403.79
56,2023-01-14,1,102,1,Revenue,2268.15
57,2023-01-06,1,102,1,Revenue,9720.55
58,2023-01-02,1,102,1,Revenue,5159.4
59,2023-01-31,1,102,1,Revenue,1982.53
60,2023-01-14,1,102,1,Revenue,5457.89
61,2023-01-16,1,102,1,Revenue,94.26
62,2023-01-23,1,102,1,Revenue,6308.49
63,2023-01-30,1,102,1,Revenue,3165.07
64,2023-01-20,1,102,1,Revenue,7954.62
65,2023-01-13,1,102,1,Revenue,14666.14
