budget_id,month_start_date,department_id,category_id,region_id,account_type,budget_amount
1,01-01-2023,1,101,1,Revenue,291317.3
2,01-01-2023,7,101,1,Revenue,62886.86
3,01-01-2023,1,102,1,Revenue,135054.17
4,01-01-2023,7,102,1,Revenue,30477.29
5,01-01-2023,1,103,1,Revenue,197324.07
6,01-01-2023,7,103,1,Revenue,43411.32
7,01-01-2023,1,201,1,Expense,139381.39
8,01-01-2023,1,202,1,Expense,31291.97
9,01-01-2023,1,205,1,Expense,18957.19
10,01-01-2023,1,207,1,Expense,8459.7
11,01-01-2023,1,208,1,Expense,24379.55
12,01-01-2023,2,201,1,Expense,134251.53
13,01-01-2023,2,202,1,Expense,31986.61
14,01-01-2023,2,204,1,Expense,47872.62
15,01-01-2023,2,205,1,Expense,18769.03
16,01-01-2023,2,207,1,Expense,8445.67
17,01-01-2023,2,208,1,Expense,24869.9
18,01-01-2023,3,201,1,Expense,144291.21
19,01-01-2023,3,202,1,Expense,31801.41
20,01-01-2023,3,203,1,Expense,42457.85
21,01-01-2023,3,205,1,Expense,22231.14
22,01-01-2023,3,206,1,Expense,13378.08
23,01-01-2023,3,207,1,Expense,9024.31
24,01-01-2023,3,208,1,Expense,25461.27
25,01-01-2023,4,201,1,Expense,24394.48
26,01-01-2023,4,202,1,Expense,5800.62
27,01-01-2023,4,207,1,Expense,1502.49
28,01-01-2023,4,208,1,Expense,4796.01
29,01-01-2023,5,201,1,Expense,21093.25
30,01-01-2023,5,202,1,Expense,4946.6
31,01-01-2023,5,207,1,Expense,1332.15
32,01-01-2023,5,208,1,Expense,4398.4
33,01-01-2023,6,201,1,Expense,31570.45
34,01-01-2023,6,202,1,Expense,7005.51
35,01-01-2023,6,207,1,Expense,2060.64
36,01-01-2023,6,208,1,Expense,5692.73
37,01-01-2023,7,201,1,Expense,97709.56
38,01-01-2023,7,202,1,Expense,20681
39,01-01-2023,7,203,1,Expense,28974.3
40,01-01-2023,7,206,1,Expense,9252.29
41,01-01-2023,7,207,1,Expense,6300.78
42,01-01-2023,1,101,2,Revenue,252451.23
43,01-01-2023,7,101,2,Revenue,55063.49
44,01-01-2023,1,102,2,Revenue,114872.88
45,01-01-2023,7,102,2,Revenue,24371.22
46,01-01-2023,1,103,2,Revenue,170125
47,01-01-2023,7,103,2,Revenue,37724.97
48,01-01-2023,1,201,2,Expense,119563.11
49,01-01-2023,1,202,2,Expense,26930.13
50,01-01-2023,1,205,2,Expense,15712.83
51,01-01-2023,1,207,2,Expense,7338.92
52,01-01-2023,1,208,2,Expense,21400.21
53,01-01-2023,2,201,2,Expense,116458.9
54,01-01-2023,2,202,2,Expense,28398.23
55,01-01-2023,2,204,2,Expense,47230.65
56,01-01-2023,2,205,2,Expense,18297.11
57,01-01-2023,2,207,2,Expense,7306.22
